NAME,RA,DEC,PMRA,PMDEC,EPOCH,RESOLUTION,SUBSURVEY,TEMPLATE,RULESET,EXTENT_FLAG,EXTENT_PARAMER,EXTENT_INDEX,MAG_TYPE,MAG,MAG_ERR,DATE_EARLIEST,DATE_LATEST,CADENCE,REDDENING,REDSHIFT_ESTIMATE,REDSHIFT_ERROR,TEMPLATE_REDSHIFT,CAL_MAG_BLUE,CAL_MAG_GREEN,CAL_MAG_RED,CAL_ERR_BLUE,CAL_ERR_GREEN,CAL_ERR_RED,CAL_ID_BLUE,CAL_ID_GREEN,CAL_ID_RED,CLASSIFICATION,COMPLETENESS,PARALLAX
b'i06n12s270162H',187.5564343027173,-14.266725706661274,-4.56,-2.335,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.119935569763182,0.0008743176,0,0,0,0.2206774104026056,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.2972
b'i06n11s2200KOR',179.7462071369661,-13.589263057764196,-12.263,-1.119,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.170002723693848,0.00092873775,0,0,0,0.286322582152582,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.3582
b'i06n11s2400HU0',181.93441163520188,-13.590137189217938,-3.295,2.555,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.632752426147462,0.0018776163,0,0,0,0.10748387344421878,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1265
b'i06n11s2600CRQ',184.7726343152725,-13.86009135445406,3.284,-0.765,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.117279655456542,0.0022725489,0,0,0,0.4261612892150879,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.0245
b'i06n11s27004CT',186.5451381843966,-14.18851507456843,-12.948,-0.658,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.50435569000244,0.0018241394,0,0,0,0.0876451596137016,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.167
b'i06n11s2700PLB',185.55962122155384,-13.543871252593108,-5.424,-3.988,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.833356422424316,0.0021492243,0,0,0,0.05229032328051905,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1415
b'i06n07s1700Y4F',172.13168927700323,-7.849326652315419,-4.712,-3.235,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.27837271118164,0.0024349375,0,0,0,0.05335483820207657,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1125
b'i06n05s430066Y',206.87006916839297,-5.931323767583581,-37.363,-6.305,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.559225646972656,0.0011421354,0,0,0,0.0312580648929842,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,2.3555
b'i06n05s430086U',206.88481238188427,-5.85769964469639,-16.917,2.687,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.454150878906251,0.0018003143,0,0,0,0.032000000919065165,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,2.6022
b'i06n05s4300BM0',207.9620840811091,-5.736161911881315,-13.199,6.035,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.743790641784669,0.0022415891,0,0,0,0.02012903171200906,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.8455
